text,created_at
"Polri membuka rekrutmen khusus keahlian di bidang pertanian, gizi dan kesehatan masyarakat untuk memperkuat peran Polri dlm mendukung program makan bergizi gratis serta mewujudkan swasembada pangan.

#SukseskanAstaCita Dengan Maksimal Berikan Pelayanan kepada masyarakat ",Mon Feb 10 07:47:32 +0000 2025
"Program Makan Bergizi Gratis dorong pertumbuhan ekonomi daerah

#makanbegizigratis
#visipresidenprabowo
#indonesia ",Mon Feb 03 11:05:04 +0000 2025
"#SobatTernak @kementan terus fokus untuk meningkatkan produktivitas peternak lokal

Dengan dukungan penuh terhadap program Makan Bergizi Gratis (MBG), Kementan berkomitmen menyediakan protein hewani berkualitas untuk mendukung kesehatan masyarakat, terutama anak-anak

#DitjenPKH ",Sat Feb 08 06:04:19 +0000 2025
"Pelaksanaan Program Makan Bergizi Gratis (MBG) di SD Negeri 05 Jati &amp; TK Negeri 02, Rawamangun, Jakarta Timur.

Program ini bertujuan utk memastikan anak-anak Indonesia mendapatkan asupan gizi yang baik, sehingga mereka tumbuh sehat,cerdas,dan memiliki masa depan yang lebih baik. ",Mon Feb 03 16:03:45 +0000 2025
Program Makan Bergizi Gratis dapat mnedukung terwujudnya ketahanan pangan sebagai upaya untuk memenuhi kebutuhan pangan di masyarakat Papua. #PanganNasional #SwasembadaPangan #KetahananPangan #PapuaNKRI ,Sat Feb 08 11:05:02 +0000 2025
"Fresh  - Program Makan Bergizi Gratis berikan efek domino pada perekonomian nasional

#makangratis #makanbergiziuntukmasadepan #prabowosubianto ",Fri Feb 07 14:01:05 +0000 2025
"Karna banyak kekacauan program makan siang bergizi gratis, kayanya perlu dikaji ulang deh soal program peremintah ini.
Jaman gue sekolah SD tahun 90an, seinget gue bukan makan siang bergizi gratis tp lebih tepatnya makanan bergizi gratis, itu pun tidak setiap hari kita dapat. ",Mon Feb 03 02:05:50 +0000 2025
Anak-anak keracunan Makan Bergizi Gratis. Emak-emak meninggal kecapekan antre gas LPG 3kg. Pejabatnya masih tetep eksis pake fasilitas yg dibayar anak &amp; ibu yg terdampak dari kebijakan ngawur itu.,Tue Feb 04 11:57:28 +0000 2025
"@ARSIPAJA hahaha..lucu sekali
pokoknya prioritas utama makan gratis. ",Tue Feb 04 06:37:33 +0000 2025
"PENDIDIKAN GRATIS BUKAN MAKAN GRATIS...

SISWA DI PAPUA DEMO TOLAK MAKAN GRATIS, YANG KAMI BUTUHKAN ITU PENDIDIKAN GRATIS....‼️

#LawanAksiKudetaJokowi 
#LawanAksiKudetaJokowi 
🆘🆗 ",Mon Feb 10 11:19:18 +0000 2025
"Menu Makan Bergizi Gratis (MBG) terdiri dari nasi putih, sayur buncis tumis, tempe goreng 1 potong, satu potong nugget ikan dan satu buah pisang putri, tanpa air minum atau susu.

Susu cuma untuk masa kampanye dan Uji Coba Wapres 🤣🤣🤣

Anjir PPN 12% buat ginian.. ",Mon Jan 06 04:32:20 +0000 2025
"Pagi tadi, saya berkunjung ke SD Pandu, Cerme untuk meninjau Program Makan Bergizi Gratis. Melihat anak-anak menikmati hidangan sehat dengan penuh semangat benar-benar menghangatkan hati. Semoga program ini terus berjalan dan membawa manfaat bagi tumbuh kembang mereka ",Mon Feb 10 11:42:29 +0000 2025
"Makan gratisnya Kakak.... gasnya gak ada, soalnya dibatasin untuk makan gratis ☺️👍🏻

Mereka yang mengadakan makan gratis untuk rakyat, tapi selalu menyusahkan rakyat.

Katanya bertugas untuk rakyat, tapi, rakyat selalu di pukul terus. 

#PeringatanDarurat ",Tue Feb 04 01:26:18 +0000 2025
"Keseriusan Pemerintah dalam menjalankan Program Makan Bergizi Gratis 

#MakanBergiziGratis #MBG #ProgramMakanBergiziGratis #IndonesiaMaju #PresidenPrabowo #ViralHariIni #KabarBaik #viral #Fyp ",Wed Feb 05 05:39:02 +0000 2025
"@tempodotco Dulu Anies bikin program Makan Gratis. Melibatkan Kantin &amp; Komite Sekolah. 

Gak ada yang tersingkir. ",Wed Jan 22 08:50:21 +0000 2025
